rel_path,bytes,chunks,embed_ms,status
core/src/main/java/kafka/docker/Log4jConfiguration.java,5863,1,75,ok
core/src/main/java/kafka/log/remote/RemoteLogManager.java,125332,24,1098,ok
core/src/main/java/kafka/log/remote/RemoteLogOffsetReader.java,3591,1,38,ok
core/src/main/java/kafka/log/remote/RemoteLogReader.java,4128,1,47,ok
core/src/main/java/kafka/server/ClientRequestQuotaManager.java,5021,1,62,ok
core/src/main/java/kafka/server/MetadataVersionConfigValidator.java,2468,1,28,ok
core/src/main/java/kafka/server/NetworkUtils.java,3396,1,36,ok
core/src/main/java/kafka/server/QuotaFactory.java,6467,2,61,ok
core/src/main/java/kafka/server/ReplicaQuota.java,1019,1,17,ok
core/src/main/java/kafka/server/ReplicationQuotaManager.java,5814,1,75,ok
core/src/main/java/kafka/server/TierStateMachine.java,15374,3,139,ok
core/src/main/java/kafka/server/builders/KafkaApisBuilder.java,9109,2,78,ok
core/src/main/java/kafka/server/builders/LogManagerBuilder.java,7761,2,62,ok
core/src/main/java/kafka/server/builders/ReplicaManagerBuilder.java,5582,1,55,ok
core/src/main/java/kafka/server/handlers/DescribeTopicPartitionsRequestHandler.java,6248,2,74,ok
core/src/main/java/kafka/server/logger/RuntimeLoggerManager.java,6336,2,66,ok
core/src/main/java/kafka/server/share/DelayedShareFetch.java,22430,5,189,ok
core/src/main/java/kafka/server/share/ShareFetchUtils.java,10386,3,105,ok
core/src/main/java/kafka/server/share/SharePartition.java,121916,23,1107,ok
core/src/main/java/kafka/server/share/SharePartitionManager.java,42825,9,396,ok
core/src/main/scala/kafka/Kafka.scala,4319,1,58,ok
core/src/main/scala/kafka/MetadataLogConfig.scala,1679,1,22,ok
core/src/main/scala/kafka/admin/ConfigCommand.scala,40620,8,528,ok
core/src/main/scala/kafka/cluster/Broker.scala,3508,1,46,ok
core/src/main/scala/kafka/cluster/EndPoint.scala,2095,1,28,ok
core/src/main/scala/kafka/cluster/Partition.scala,90950,18,864,ok
core/src/main/scala/kafka/cluster/Replica.scala,9529,2,98,ok
core/src/main/scala/kafka/common/BrokerEndPointNotAvailableException.scala,949,1,17,ok
core/src/main/scala/kafka/common/LogCleaningAbortedException.scala,961,1,17,ok
core/src/main/scala/kafka/common/ThreadShutdownException.scala,961,1,17,ok
