experiment_id,chunk_label,query_id,query_type,has_adversarial,top1_file,top1_cosine,top1_hit,recall_at_1,recall_at_3,recall_at_10,reciprocal_rank,adv_precision_pass,adv_rank_gap
E003b-750-100,750/100,Q01,DIRECT_CONCEPT,true,server/src/main/java/org/apache/kafka/network/SocketServerConfigs.java,0.6122,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved
E003b-750-100,750/100,Q02,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogCleanerManager.scala,0.6535,false,0.0000,0.0000,1.0000,0.2500,false,-3
E003b-750-100,750/100,Q03,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,0.6690,false,0.0000,1.0000,1.0000,0.5000,true,3
E003b-750-100,750/100,Q04,BEHAVIOURAL,true,raft/src/main/java/org/apache/kafka/raft/RaftClient.java,0.6590,false,0.0000,0.0000,1.0000,0.2500,false,-3
E003b-750-100,750/100,Q05,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.7035,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q06,CROSS_CUTTING,true,core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,0.6362,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-750-100,750/100,Q07,BEHAVIOURAL,true,core/src/main/scala/kafka/coordinator/transaction/TransactionStateManager.scala,0.6826,false,0.0000,0.0000,1.0000,0.2500,false,-3
E003b-750-100,750/100,Q08,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ReplicaFetcherThread.scala,0.7172,false,0.0000,1.0000,1.0000,0.5000,true,1
E003b-750-100,750/100,Q09,CROSS_CUTTING,true,core/src/main/scala/kafka/server/KafkaConfig.scala,0.6092,false,0.0000,0.0000,1.0000,0.2500,true,no_adv_retrieved
E003b-750-100,750/100,Q10,DIRECT_CONCEPT,true,metadata/src/main/java/org/apache/kafka/image/publisher/SnapshotGenerator.java,0.6791,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-750-100,750/100,Q11,BEHAVIOURAL,true,core/src/main/scala/kafka/log/LogCleaner.scala,0.6174,false,0.0000,1.0000,1.0000,0.3333,false,-2
E003b-750-100,750/100,Q12,CROSS_CUTTING,true,core/src/main/scala/kafka/server/SharedServer.scala,0.6785,false,0.0000,1.0000,1.0000,0.5000,false,-1
E003b-750-100,750/100,Q13,BEHAVIOURAL,true,server-common/src/main/java/org/apache/kafka/admin/AdminUtils.java,0.6134,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q14,ANTI_PATTERN,false,server-common/src/main/java/org/apache/kafka/server/util/ThroughputThrottler.java,0.5939,false,0.0000,0.0000,0.0000,0.0000,,
E003b-750-100,750/100,Q15,ANTI_PATTERN,false,core/src/main/scala/kafka/server/KafkaApis.scala,0.6737,false,0.0000,0.0000,0.0000,0.0000,,
E003b-750-100,750/100,Q16,DIRECT_CONCEPT,true,core/src/main/scala/kafka/cluster/Replica.scala,0.6314,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q17,DIRECT_CONCEPT,true,raft/src/main/java/org/apache/kafka/raft/internals/UpdateVoterHandler.java,0.6527,false,0.0000,1.0000,1.0000,0.3333,true,1
E003b-750-100,750/100,Q18,CROSS_CUTTING,true,core/src/main/scala/kafka/network/SocketServer.scala,0.6536,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-750-100,750/100,Q19,CROSS_CUTTING,true,core/src/main/scala/kafka/server/ClientQuotaManager.scala,0.6067,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-750-100,750/100,Q20,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6381,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
